time,open,high,low,close,Volume
2024-11-22 05:25:00,5964.75,5966.0,5964.25,5965.5,340
2024-11-25 06:25:00,6013.0,6013.25,6012.5,6012.5,221
2024-11-26 07:25:00,6007.75,6008.5,6007.25,6007.75,202
2024-11-27 08:25:00,6029.25,6032.25,6029.0,6030.25,1021
2024-11-28 09:25:00,6023.0,6023.25,6022.0,6022.25,296
2024-11-29 14:25:00,6027.5,6028.25,6020.0,6021.25,6353
2024-12-02 19:10:00,6060.75,6061.25,6056.25,6057.25,8928
2024-12-03 20:10:00,6064.75,6065.5,6063.0,6063.75,3723
2024-12-04 21:10:00,6097.5,6097.75,6096.25,6096.25,1642
2024-12-05 23:10:00,6080.0,6083.75,6080.0,6082.75,917
2024-12-09 00:10:00,6101.25,6102.0,6100.5,6101.75,333
2024-12-10 01:10:00,6062.75,6062.75,6061.5,6062.0,301
2024-12-11 02:10:00,6051.0,6051.25,6050.5,6051.0,187
2024-12-12 03:10:00,6083.75,6084.0,6083.25,6083.5,153
2024-12-13 04:10:00,6062.25,6063.25,6062.25,6062.75,96
2024-12-16 05:10:00,6058.75,6058.75,6058.5,6058.75,159
2024-12-17 06:10:00,6073.0,6073.5,6072.75,6072.75,85
2024-12-18 07:10:00,6061.25,6061.75,6061.0,6061.75,19
2024-12-19 08:10:00,5890.25,5890.5,5887.0,5889.0,403
2024-12-20 09:10:00,5825.75,5828.75,5824.0,5825.5,193
2024-12-23 10:10:00,6019.0,6021.0,6018.0,6018.25,486
2024-12-24 11:10:00,6044.25,6045.75,6044.0,6044.5,270
2024-12-26 15:55:00,6087.25,6090.75,6085.25,6090.25,5482
2024-12-27 16:55:00,5994.0,6001.5,5993.0,5996.25,12313
2024-12-30 17:55:00,5981.0,5989.25,5971.5,5986.75,17335
2024-12-31 18:55:00,5930.5,5931.75,5926.25,5926.5,5921
2025-01-02 19:55:00,5907.0,5907.0,5890.75,5892.75,8455
2025-01-03 20:55:00,5983.75,5992.5,5983.25,5988.25,23761
2025-01-06 21:55:00,6028.0,6028.5,6026.75,6028.25,788
2025-01-07 23:55:00,5956.5,5958.75,5956.0,5958.0,746
2025-01-09 00:55:00,5945.75,5947.25,5945.25,5946.75,399
2025-01-10 09:25:00,5941.0,5941.75,5939.0,5939.5,678
2025-01-13 10:25:00,5814.0,5816.0,5813.25,5815.25,973
2025-01-14 11:25:00,5898.0,5899.75,5897.25,5899.0,1160
2025-01-15 12:25:00,5901.0,5901.75,5899.25,5899.5,1856
2025-01-16 13:25:00,5993.75,5994.25,5983.25,5991.25,2280
2025-01-17 14:25:00,6024.0,6035.25,6023.5,6026.75,25924
2025-01-20 15:25:00,6057.25,6057.25,6055.0,6056.5,1963
2025-01-21 20:25:00,6081.75,6085.25,6081.0,6084.5,4909
2025-01-22 21:25:00,6116.25,6116.5,6115.25,6116.0,744
2025-01-23 23:25:00,6146.5,6146.5,6145.75,6146.0,163
2025-01-27 00:25:00,6099.25,6100.25,6098.0,6098.75,915
2025-01-28 01:25:00,6050.25,6052.75,6049.75,6050.75,1362
2025-01-29 02:25:00,6091.25,6091.5,6090.25,6091.0,177
2025-01-30 03:25:00,6090.75,6091.5,6090.5,6090.75,166
2025-01-31 04:25:00,6114.0,6114.25,6112.75,6113.0,226
